prod_testCaseID,prod_testCase,prod_code,version,active,category,name,description,sla,owner_contact_mob,owner_contact_email,requiredFeatures_code,requiredFeatures_version,requiredFeatures_configs,optionalFeatures_code,optionalFeatures_version,optionalFeatures_configs,product_configs,err_text_code,err_field,err_message
TC01,[RAIDEN_PR_0001-VALIDATION ERR] Declined Product with invalid major (SEMVER) of feature's version,Vault,d.0.0,TRUE,WooCommerce Integration,Plugin feature,Checkout: Plugin Feature,P1D,639972789133,testing@gmail.com,QR,1.0.1,{},QR,3.0.1,{},{},RAIDEN_PR_0002,Blueprint: () (d.0.0),"Invalid version format. Must be: {major}.{minor}.{patch}, and be positive integers."
TC02,[RAIDEN_PR_0001-VALIDATION ERR] Declined Product with invalid major + minor (SEMVER) of feature's version,Vault,d.d.0,TRUE,WooCommerce Integration,Plugin feature,Checkout: Plugin Feature,P1D,639972789133,testing@gmail.com,QR,1.0.1,{},QR,3.0.1,{},{},RAIDEN_PR_0002,Blueprint: () (d.d.0),"Invalid version format. Must be: {major}.{minor}.{patch}, and be positive integers."
TC03,[RAIDEN_PR_0001-VALIDATION ERR] Declined Product with invalid major + minor + patch (SEMVER) of feature's version,Vault,d.d.d,TRUE,WooCommerce Integration,Plugin feature,Checkout: Plugin Feature,P1D,639972789133,testing@gmail.com,QR,1.0.1,{},QR,3.0.1,{},{},RAIDEN_PR_0002,Blueprint: () (d.d.d),"Invalid version format. Must be: {major}.{minor}.{patch}, and be positive integers."
TC04,[RAIDEN_PR_0001-VALIDATION ERR] Declined Product with invalid major + patch (SEMVER) of feature's version,Vault,d.0.d,TRUE,WooCommerce Integration,Plugin feature,Checkout: Plugin Feature,P1D,639972789133,testing@gmail.com,QR,1.0.1,{},QR,3.0.1,{},{},RAIDEN_PR_0002,Blueprint: () (d.0.d),"Invalid version format. Must be: {major}.{minor}.{patch}, and be positive integers."
TC05,[RAIDEN_PR_0001-VALIDATION ERR] Declined Product with invalid minor (SEMVER) of feature's version,Vault,1.d.0,TRUE,WooCommerce Integration,Plugin feature,Checkout: Plugin Feature,P1D,639972789133,testing@gmail.com,QR,1.0.1,{},QR,3.0.1,{},{},RAIDEN_PR_0002,Blueprint: () (1.d.0),"Invalid version format. Must be: {major}.{minor}.{patch}, and be positive integers."
TC06,[RAIDEN_PR_0001-VALIDATION ERR] Product with invalid minor + patch (SEMVER) of feature's version,Vault,1.d.d,TRUE,WooCommerce Integration,Plugin feature,Checkout: Plugin Feature,P1D,639972789133,testing@gmail.com,QR,1.0.1,{},QR,3.0.1,{},{},RAIDEN_PR_0002,Blueprint: () (1.d.d),"Invalid version format. Must be: {major}.{minor}.{patch}, and be positive integers."
TC07,[RAIDEN_PR_0001-VALIDATION ERR] Declined Product with invalid Patch (SEMVER) of feature's version,Vault,1.0.d,TRUE,WooCommerce Integration,Plugin feature,Checkout: Plugin Feature,P1D,639972789133,testing@gmail.com,QR,1.0.1,{},QR,3.0.1,{},{},RAIDEN_PR_0002,Blueprint: () (1.0.d),"Invalid version format. Must be: {major}.{minor}.{patch}, and be positive integers."
TC08,[RAIDEN_PR_0001-VALIDATION ERR] Declined Product with existing base product,CHECKOUT,3.0.0,TRUE,None,Checkout feature,Checkout base feature,P1D,639972789133,testing@gmail.com,QR,1.0.1,{},QR,3.0.1,{},{},RAIDEN_PR_0001,Blueprint definition: (CHECKOUT) (3.0.0),Blueprint definition already exists.
TC09,[RAIDEN_PR_0001-VALIDATION ERR] Declined Product with the same declared of required and optional features,CHECKOUT,3.0.0,TRUE,None,Checkout feature,Checkout base feature,P1D,639972789133,testing@gmail.com,ShopeePay,1.0.0,{},ShopeePay,1.0.0,{},{},RAIDEN_PR_0001,Blueprint: (CHECKOUT) (3.0.0),Feature defined in both Required and Optional Features found.
TC10,[RAIDEN_PR_0002-VALIDATION ERR] Declined Product with inactive optional feature,Vault,1.0.0,TRUE,WooCommerce Integration,Plugin feature,Checkout: Plugin Feature,P1D,639972789133,testing@gmail.com,QR,1.0.1,{},CHECKOUT,1.0.0,{},{},RAIDEN_PR_0002,Optional Feature: (CHECKOUT) (1.0.0),Product/Feature is inactive.
TC11,[RAIDEN_PR_0002-VALIDATION ERR] Declined Product with inactive required feature,Vault,1.0.0,TRUE,WooCommerce Integration,Plugin feature,Checkout: Plugin Feature,P1D,639972789133,testing@gmail.com,QR,2.0.0,{},QR,3.0.1,{},{},RAIDEN_PR_0002,Required Feature: (QR) (2.0.0),Product/Feature is inactive.
TC12,[RAIDEN_PR_0002-VALIDATION ERR] Declined Product with nonexistent optional feature,Vault,1.0.0,TRUE,WooCommerce Integration,Plugin feature,Checkout: Plugin Feature,P1D,639972789133,testing@gmail.com,QR,1.0.1,{},ShopeePay,1.0.0,{},{},RAIDEN_PR_0002,Optional Feature: (ShopeePay) (1.0.0),Product/Feature does not exist
TC13,[RAIDEN_PR_0002-VALIDATION ERR] Declined Product with nonexistent required feature,Vault,1.0.0,TRUE,WooCommerce Integration,Plugin feature,Checkout: Plugin Feature,P1D,639972789133,testing@gmail.com,ShopeePay,1.0.0,{},QR,1.0.1,{},{},RAIDEN_PR_0002,Required Feature: (ShopeePay) (1.0.0),Product/Feature does not exist
TC14,[RAIDEN_PR_0001-VALIDATION ERR] Declined Product with invalid major (SEMVER) of optional feature's version,Vault,1.0.0,TRUE,WooCommerce Integration,Plugin feature,Checkout: Plugin Feature,P1D,639972789133,testing@gmail.com,QR,1.0.1,{},QR,d.0.1,{},{},RAIDEN_PR_0001,Optional Feature: (QR) (d.0.1),"Invalid version format. Must be: {major}.{minor}.{patch}, and be positive integers."
TC15,[RAIDEN_PR_0001-VALIDATION ERR] Declined Product with invalid major + minor (SEMVER) of optional feature's version,Vault,1.0.0,TRUE,WooCommerce Integration,Plugin feature,Checkout: Plugin Feature,P1D,639972789133,testing@gmail.com,QR,1.0.1,{},QR,d.d.1,{},{},RAIDEN_PR_0001,Optional Feature: (QR) (d.d.1),"Invalid version format. Must be: {major}.{minor}.{patch}, and be positive integers."
TC16,[RAIDEN_PR_0001-VALIDATION ERR] Declined Product with invalid major + minor + patch (SEMVER) of optional feature's version,Vault,1.0.0,TRUE,WooCommerce Integration,Plugin feature,Checkout: Plugin Feature,P1D,639972789133,testing@gmail.com,QR,1.0.1,{},QR,d.d.d,{},{},RAIDEN_PR_0001,Optional Feature: (QR) (d.d.d),"Invalid version format. Must be: {major}.{minor}.{patch}, and be positive integers."
TC17,[RAIDEN_PR_0001-VALIDATION ERR] Declined Product with invalid major + patch (SEMVER) of optional feature's version,Vault,1.0.0,TRUE,WooCommerce Integration,Plugin feature,Checkout: Plugin Feature,P1D,639972789133,testing@gmail.com,QR,1.0.1,{},QR,d.0.d,{},{},RAIDEN_PR_0001,Optional Feature: (QR) (d.0.d),"Invalid version format. Must be: {major}.{minor}.{patch}, and be positive integers."
TC18,[RAIDEN_PR_0001-VALIDATION ERR] Declined Product with invalid minor (SEMVER) of optional feature's version,Vault,1.0.0,TRUE,WooCommerce Integration,Plugin feature,Checkout: Plugin Feature,P1D,639972789133,testing@gmail.com,QR,1.0.1,{},QR,3.d.1,{},{},RAIDEN_PR_0001,Optional Feature: (QR) (3.d.1),"Invalid version format. Must be: {major}.{minor}.{patch}, and be positive integers."
TC19,[RAIDEN_PR_0001-VALIDATION ERR] Declined Product with invalid minor + patch (SEMVER) of optional feature's version,Vault,1.0.0,TRUE,WooCommerce Integration,Plugin feature,Checkout: Plugin Feature,P1D,639972789133,testing@gmail.com,QR,1.0.1,{},QR,3.d.d,{},{},RAIDEN_PR_0001,Optional Feature: (QR) (3.d.d),"Invalid version format. Must be: {major}.{minor}.{patch}, and be positive integers."
TC20,[RAIDEN_PR_0001-VALIDATION ERR] Declined Product with invalid patch (SEMVER) of optional feature's version,Vault,1.0.0,TRUE,WooCommerce Integration,Plugin feature,Checkout: Plugin Feature,P1D,639972789133,testing@gmail.com,QR,1.0.1,{},QR,3.0.d,{},{},RAIDEN_PR_0001,Optional Feature: (QR) (3.0.d),"Invalid version format. Must be: {major}.{minor}.{patch}, and be positive integers."
